file,zh,old_en
"index.html","臺灣營德股份有限公司 | INTEPLAST TAIWAN CORPORATION","INTEPLAST TAIWAN CORPORATION | Can Liner, Draw Tape &amp; Zipper Bag Manufacturer"
"index.html","台塑企業清潔袋專業製造","Formosa Plastics Group · Can Liner Specialist"
"index.html","台塑企業、INTEPLAST USA 與長庚生技合資建立公司。以台塑原料自製清潔袋與拉繩袋，嘉義新港、越南基地自動化吹膜；另有蔬果袋、夾鏈袋，以及集團專利抽取式 Scale Sheet。","A joint venture of Formosa Plastics, INTEPLAST USA and Chang Gung Biotech. Built on Formosa resin, our Chiayi Xingang and Vietnam plants run automated extrusion for can liners and draw-tape bags, alongside produce and zipper bags, plus the group's patented pop-up Scale Sheet."
"index.html","瀏覽核心產品系列","Explore Our Product Lines"
"index.html","瀏覽核心產品系列","Explore Our Product Lines"
"index.html","年 (1983-{{year}})","Yrs (1983-{{year}})"
"index.html","{{years}} 年全球品牌資歷","{{years}} Years Group History"
"index.html","INTEPLAST USA 1983 創立 · 2014 在台建立公司","Founded 1983 · Taiwan Company Est. 2014"
"index.html","品質管理系統認證","ISO 9001:2015 Certified"
"index.html","ISO 9001:2015 嚴格把關","ISO 9001 Quality Control"
"index.html","廠內廢料閉環回收","In-House Scrap Recycling"
"index.html","100% 邊角料即時粉碎造粒","100% Zero Waste Recycling"
"index.html","CORE PRODUCTS · 核心產品系列","CORE PRODUCTS"
"index.html","核心產品系列","Core Products"
"index.html","全線產品皆以台塑原料自製，嘉義新港基地一貫作業，從家用清潔袋到集團專利 Scale Sheet。","Every line is built on Formosa resin and produced in-house at our Chiayi Xingang plant — from household can liners to the group's patented Scale Sheet."
"index.html","ENVIRONMENTAL LABEL PRODUCTS · 綠色標章產品","ENVIRONMENTAL LABEL PRODUCTS"
"index.html","環保不打折，每一款都經過層層把關","Uncompromised Eco Quality, Rigorously Audited"
"index.html","台塑環保拉繩清潔袋與台塑環保清潔袋，皆通過環保標章審查並取得使用證書；從原料到製程，將環境考量落實於日常使用。","Formosa Eco Drawtape and Can Liner bags are fully Green Mark certified from raw materials to manufacturing."
"index.html","通過環境審查","Passed Environmental Audits"
"index.html","符合環保標章規格標準，取得產品標示資格。","Meets official Green Mark specifications."
"index.html","50% 再生塑膠","50% Recycled Plastic"
"index.html","減少對原生塑膠資源的依賴，延續材料價值。","Reduces reliance on virgin plastics."
"index.html","避用重金屬","Zero Heavy Metals"
"index.html","不使用鉛、鎘、汞及六價鉻等重金屬。","Free of lead, cadmium, mercury, and hexavalent chromium."
"index.html","製程審慎管理","Strict Process Control"
"index.html","避用列管毒性化學物質及相關管制物。","Free of regulated toxic chemical substances."
"index.html","查看更多","Read More"
"index.html","查看更多","Read More"
"index.html","留下聯絡資料，我們將由專人與您聯繫","Leave Your Contact Details & We Will Be In Touch"
"index.html","無論是產品規格諮詢、外銷配合或客製化需求，歡迎留下資訊，我們將有專人與您對接。","Leave your inquiries and contact details, and our sales team will reach out to you."
"index.html","留下聯絡資料","Leave Contact Details"
"index.html","留下聯絡資料","Leave Contact Details"
"index.html","核心產品系列","Core Products"
